Date,Clicks,Impressions,CTR,Position
2026-03-31,11,1230,0.89%,34.30
2026-04-01,6,1165,0.52%,34.10
2026-04-02,8,1250,0.64%,39.80
2026-04-03,10,1218,0.82%,36.90
2026-04-04,3,870,0.34%,37.70
2026-04-05,2,906,0.22%,38.50
2026-04-06,9,1143,0.79%,37.10
2026-04-07,7,1203,0.58%,37.10
2026-04-08,10,1079,0.93%,34.10
2026-04-09,9,1533,0.59%,43.80
2026-04-10,5,1099,0.45%,38.90
2026-04-11,1,675,0.15%,39.40
2026-04-12,2,674,0.30%,42.60
2026-04-13,11,1038,1.06%,42.20
2026-04-14,15,1160,1.29%,41.30
2026-04-15,9,1240,0.73%,47.10
2026-04-16,13,1133,1.15%,37.20
2026-04-17,328,1656,19.81%,22.30
2026-04-18,220,1376,15.99%,32.70
2026-04-19,103,1277,8.07%,41.30
2026-04-20,101,1278,7.90%,36.70
2026-04-21,47,941,4.99%,36.10
2026-04-22,23,892,2.58%,39.00
2026-04-23,21,1120,1.88%,44.00
2026-04-24,18,749,2.40%,39.00
2026-04-25,2,456,0.44%,42.50
2026-04-26,6,594,1.01%,41.10
2026-04-27,16,881,1.82%,40.30
2026-04-28,12,616,1.95%,41.70
2026-04-29,9,708,1.27%,42.90
2026-04-30,13,658,1.98%,41.20
2026-05-01,9,525,1.71%,37.60
2026-05-02,2,378,0.53%,35.20
2026-05-03,5,462,1.08%,34.90
2026-05-04,11,650,1.69%,41.50
2026-05-05,14,706,1.98%,36.80
2026-05-06,7,749,0.93%,39.80
2026-05-07,11,695,1.58%,40.90
2026-05-08,3,667,0.45%,41.40
2026-05-09,4,440,0.91%,42.00
2026-05-10,9,407,2.21%,35.50
2026-05-11,12,764,1.57%,36.20
2026-05-12,11,766,1.44%,44.00
2026-05-13,9,722,1.25%,42.30
2026-05-14,8,746,1.07%,40.40
2026-05-15,12,967,1.24%,51.30
2026-05-16,5,656,0.76%,46.90
2026-05-17,6,809,0.74%,48.30
2026-05-18,15,1048,1.43%,51.40
2026-05-19,14,1077,1.30%,50.00
2026-05-20,9,996,0.90%,49.10
2026-05-21,14,1085,1.29%,51.10
2026-05-22,7,1211,0.58%,50.60
2026-05-23,3,910,0.33%,52.70
2026-05-24,3,841,0.36%,51.10
2026-05-25,29,1038,2.79%,49.20
2026-05-26,13,1053,1.23%,52.30
2026-05-27,27,1035,2.61%,47.40
2026-05-28,10,1152,0.87%,49.30
2026-05-29,10,841,1.19%,49.10
2026-05-30,2,601,0.33%,49.90
2026-05-31,5,701,0.71%,47.70
2026-06-01,9,853,1.06%,48.60
2026-06-02,10,718,1.39%,43.00
2026-06-03,11,855,1.29%,44.10
2026-06-04,11,711,1.55%,42.10
2026-06-05,15,840,1.79%,45.00
2026-06-06,9,872,1.03%,50.40
2026-06-07,5,938,0.53%,43.50
2026-06-08,11,1021,1.08%,40.50
2026-06-09,15,1228,1.22%,42.50
2026-06-10,16,1021,1.57%,32.00
2026-06-11,20,1019,1.96%,35.20
2026-06-12,8,828,0.97%,38.40
2026-06-13,3,610,0.49%,44.50
2026-06-14,3,611,0.49%,44.30
2026-06-15,14,815,1.72%,43.10
2026-06-16,11,814,1.35%,37.20
2026-06-17,13,1176,1.11%,40.40
2026-06-18,11,1000,1.10%,43.40
2026-06-19,8,1060,0.75%,41.90
2026-06-20,5,1903,0.26%,32.80
2026-06-21,4,746,0.54%,36.00
2026-06-22,13,837,1.55%,36.20
2026-06-23,23,5718,0.40%,36.20
2026-06-24,13,1335,0.97%,35.30
2026-06-25,16,956,1.67%,36.90
2026-06-26,17,1073,1.58%,39.30
2026-06-27,3,1006,0.30%,38.20
2026-06-28,14,910,1.54%,32.00
2026-06-29,12,939,1.28%,33.10
2026-06-30,10,1037,0.96%,33.70
